active,cik,composite_figi,currency_name,last_updated_utc,locale,market,name,primary_exchange,share_class_figi,ticker,type
True,0001090872,BBG000C2V3D6,usd,2025-09-21T06:04:50.62682634Z,us,stocks,Agilent Technologies Inc.,XNYS,BBG001SCTQY4,A,CS
True,0001675149,BBG00B3T3HD3,usd,2025-09-21T06:04:50.626826971Z,us,stocks,Alcoa Corporation,XNYS,BBG00B3T3HF1,AA,CS
True,0001776878,BBG01B0JRCS6,usd,2025-09-21T06:04:50.626827222Z,us,stocks,Alternative Access First Priority CLO Bond ETF,ARCX,BBG01B0JRCT5,AAA,ETF
True,,BBG01W275XX6,usd,2025-09-21T06:04:50.626827482Z,us,stocks,Amplius Aggressive Asset Allocation ETF,BATS,BBG01W275ZB5,AAAA,ETF
True,0001708646,BBG00LPXX872,usd,2025-09-21T06:04:50.626827562Z,us,stocks,Goldman Sachs Physical Gold ETF Shares,BATS,BBG00LPXX8Z1,AAAU,ETF
True,0002034334,,usd,2025-09-21T06:04:50.626827813Z,us,stocks,Artius II Acquisition Inc. Class A Ordinary Shares,XNAS,,AACB,CS
True,0002034334,,usd,2025-09-21T06:04:50.626828013Z,us,stocks,Artius II Acquisition Inc. Rights,XNAS,,AACBR,RIGHT
True,0002034334,,usd,2025-09-21T06:04:50.626828203Z,us,stocks,Artius II Acquisition Inc. Units,XNAS,,AACBU,UNIT
True,0001420529,BBG000V2S3P6,usd,2025-09-21T06:04:50.626828384Z,us,stocks,ATA Creativity Global American Depositary Shares,XNAS,BBG001T125S9,AACG,ADRC
True,0002044009,,usd,2025-09-21T06:04:50.626828474Z,us,stocks,Armada Acquisition Corp. II Class A Ordinary Shares,XNAS,,AACI,CS
True,0002044009,,usd,2025-09-21T06:04:50.626828744Z,us,stocks,Armada Acquisition Corp. II Units,XNAS,,AACIU,UNIT
True,0002044009,,usd,2025-09-21T06:04:50.626828825Z,us,stocks,Armada Acquisition Corp. II Warrant,XNAS,,AACIW,WARRANT
True,0001853138,,usd,2025-09-21T06:04:50.626828975Z,us,stocks,Ares Acquisition Corporation II,XNYS,,AACT,CS
True,0001853138,,usd,2025-09-21T06:04:50.626829055Z,us,stocks,"Ares Acquisition Corporation II Units, each consisting of one Class A ordinary share and one-half of one redeemable warrant",XNYS,,AACT.U,UNIT
True,0001853138,,usd,2025-09-21T06:04:50.626829135Z,us,stocks,"Ares Acquisition Corporation II Redeemable Warrants, each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50",XNYS,,AACT.WS,WARRANT
True,0001408970,BBG000BDYRW6,usd,2025-09-21T06:04:50.626829215Z,us,stocks,AdvisorShares Dorsey Wright ADR ETF,XNAS,BBG001T9B1Y4,AADR,ETF
True,0000006201,BBG005P7Q881,usd,2025-09-21T06:04:50.626829295Z,us,stocks,American Airlines Group Inc.,XNAS,BBG005P7Q907,AAL,CS
True,0001976322,BBG01VH49P35,usd,2025-09-21T06:04:50.626829376Z,us,stocks,Leverage Shares 2X Long AAL Daily ETF,XNAS,BBG01VH49Q06,AALG,ETF
True,0002012964,,usd,2025-09-21T06:04:50.626829666Z,us,stocks,AA Mission Acquisition Corp.,XNYS,,AAM,CS
True,0002012964,,usd,2025-09-21T06:04:50.626829746Z,us,stocks,"AA Mission Acquisition Corp. Units, each consisting of one Class A Ordinary Share and one-half of one redeemable warrant",XNYS,,AAM.U,UNIT
True,0002012964,,usd,2025-09-21T06:04:50.626829877Z,us,stocks,"AA Mission Acquisition Corp. Warrants, each whole warrant entitles the holder to purchase one Class A ordinary share at a price of $11.50 per share",XNYS,,AAM.WS,WARRANT
True,0000008177,BBG000B9XB24,usd,2025-09-21T06:04:50.626829957Z,us,stocks,Atlantic American Corp,XNAS,BBG001S5N8T1,AAME,CS
True,0001748824,BBG00P2HLNY3,usd,2025-09-21T06:04:50.626830037Z,us,stocks,Acadian Asset Management Inc.,XNYS,BBG00P2HLNZ2,AAMI,CS
True,0001158114,BBG000D6VW15,usd,2025-09-21T06:04:50.626830117Z,us,stocks,"Applied Optoelectronics, Inc.",XNAS,BBG001SG47G4,AAOI,CS
True,0000824142,BBG000C2LZP3,usd,2025-09-21T06:04:50.626830317Z,us,stocks,Aaon Inc,XNAS,BBG001S6CZK0,AAON,CS
True,0001158449,BBG000F7RCJ1,usd,2025-09-21T06:04:50.626830398Z,us,stocks,ADVANCE AUTO PARTS INC,XNYS,BBG001SD2SB2,AAP,CS
